Time,Qbor_pos_first_year,Qbor_pos_second_year,Qbor_pos_tenth_year,Qbor_pos_avg_20_years
406800,4623.649414,2572.672852,4051.66748,3959.92523195
410400,3835.180176,2980.657227,4095.257324,3891.8413452
414000,2617.894531,3678.552002,3016.118652,3161.94002685
417600,1712.471313,2466.21875,1876.090088,1963.6389647
421200,1240.387573,1564.613403,1312.301758,1352.1713929000002
424800,958.2479248,1117.527344,992.2455444,1013.6000458350002
428400,769.8552246,859.0442505,784.6707764,798.260781865
432000,636.729248,688.270874,640.934082,650.2195251400001
435600,538.9696045,568.4260254,537.4953003,544.0681549
439200,2040.410034,481.2553711,460.3362732,543.9492477299999
442800,3342.652344,424.1871033,400.7955017,554.6032501299999
446400,3929.327637,2477.670898,2245.93042,2363.2743409000004
450000,4243.211914,3402.937988,3257.391357,3324.5891844999996
453600,4426.827148,3843.166504,3730.161865,3747.4139160500004
457200,4537.506348,4081.784424,3982.572754,3900.5699219000003
460800,4605.614746,4223.141602,4073.378418,4013.3090821000005
464400,4648.095215,4309.749512,3674.020996,4092.6539306500003
468000,4674.232422,4280.264648,4111.927246,4144.88392325
471600,4139.241211,3895.254883,4265.192383,4214.8723633
475200,4510.871582,4269.749512,4328.411621,4329.317358400001
478800,4651.806641,4389.991211,4359.807617,4375.337524299999
482400,4698.975098,4434.436035,4376.790039,4395.875244249999
486000,4716.605469,4453.837891,4385.177246,4405.41267105
489600,4723.303711,4461.013184,4388.243164,4408.905835
493200,4724.513184,4442.692383,4383.539063,4402.9201174
496800,4722.734863,4362.354492,4350.025391,4365.86721205
500400,4669.641602,2587.038086,3653.63916,3580.0252441000002
504000,3148.974121,1689.656494,2204.585938,2192.61704105
507600,1996.405884,1222.801025,1494.022583,1487.81994015
511200,1415.281494,940.5988159,1107.309448,1103.3356414199995
514800,1076.940063,751.8469849,863.9672241,861.5431487799999
518400,854.809082,619.3103027,698.055542,696.698425285
522000,699.8014526,522.7678833,580.1052246,579.3881927599999
525600,587.5409546,449.8629761,493.1471558,492.80513000999997
529200,1190.379761,393.020813,426.7409363,460.980516065
532800,2981.337402,1906.659058,978.2114258,1176.44169616
536400,3758.799805,3157.220215,2736.751465,2807.9381227
540000,4142.083984,3719.510986,3481.911865,3420.3016600999995
543600,4355.81543,4010.068848,3807.930908,3730.0052858000004
547200,4483.481445,4178.794434,3484.629639,3891.1025513
550800,4561.837891,4243.188477,3963.245361,3913.3486328999998
554400,4194.92041,3793.670898,4144.405762,3975.54079585
558000,4386.449707,4191.21875,3698.168701,4110.217871049999
561600,4590.14502,4318.608887,4133.389648,4180.57606205
565200,4227.680176,3849.334229,4301.561035,4240.0830201
568800,4444.538574,4262.206055,4365.716797,4355.90827645
572400,4635.42627,4410.82373,4394.288086,4405.244043000001
576000,4699.781738,4462.819824,4408.047363,4424.69836415
579600,4723.504395,4483.213379,4413.630371,4432.2771729
583200,4732.661621,4491.241211,4414.358398,4434.040356400001
586800,4686.42627,4447.146973,4367.29834,4387.305615299999
590400,3429.742432,3192.543701,3148.751465,3158.8132080999994
594000,2126.643066,1984.592529,1956.916138,1964.0570068499997
597600,1482.209106,1385.772217,1366.177002,1371.6690612999998
601200,1116.517334,1044.634644,1029.852661,1034.23004155
604800,879.8642578,823.5167236,811.895813,815.4768280049999
608400,716.3511963,670.758667,661.3196411,664.31830139
612000,598.8850098,561.0844116,553.2138672,555.771762085
615600,511.3531799,479.4154358,472.7252502,474.93645324500005
619200,1891.619629,542.5648193,536.9105835,674.9763275
622800,3290.868652,2591.18335,2543.737061,2514.0180603
626400,3907.202637,3458.899414,3389.244385,3294.8091797500006
630000,4219.501465,3869.298828,3215.659668,3672.7273193
633600,4398.345703,4086.540527,3814.979248,3884.9191527499997
637200,4074.765381,3658.065186,4086.576904,4032.726233
640800,4312.145508,4111.138672,4214.44043,4207.845947349999
644400,4534.180664,4296.922363,4283.118652,4295.88239735
648000,4617.98584,4372.888184,4322.690918,4340.15112315
651600,4655.121582,4405.253906,4344.196777,4362.43879395
655200,4673.634277,4360.88916,4319.547852,4334.923120099999
658800,4671.65332,2882.08667,3313.458252,3303.5643676
662400,4582.659668,1809.39856,2010.984375,2338.8822023000002
666000,2711.26416,1271.88147,1375.717163,1816.8730592
669600,2216.92041,1486.987183,2226.708496,1784.61174935
673200,3531.595459,3005.323486,3150.91333,3042.8124511500005
676800,3080.244873,3044.168213,2424.316162,2479.9336427
680400,2403.925781,1976.615112,1468.020142,1542.7459959999999
684000,1514.699829,1248.137573,1016.861023,1047.4923889200002
687600,1075.835205,892.1120605,770.4683838,784.8156951799999
691200,827.1852417,687.1750488,612.4529419,621.5059448300001
694800,664.6107788,552.6196899,503.3416748,509.8909713850001
698400,550.7260132,459.0249023,425.2148438,430.141168215
702000,2270.669189,391.4788208,367.2752686,574.8939849349999
705600,3407.979004,2065.376709,2160.654785,2193.8492493500003
709200,3946.550293,3217.331787,3180.853271,3146.3951415499996
712800,4233.367676,3744.62085,3124.260986,3596.6251221000007
716400,4400.404297,3988.18042,3782.609863,3842.4485474500007
720000,4061.198486,3616.75,4063.174805,4013.9007202000003
723600,4334.92041,4105.580566,4200.218262,4197.45305175
727200,4537.50293,4291.453125,4276.709961,4290.22377925
730800,4615.639648,4371.747559,4322.266113,4339.315161150001
734400,4651.320801,4412.766113,4349.29248,4367.228832999999
738000,4669.556152,4435.468262,4364.576172,4382.9249024499995
741600,4677.855957,4446.779785,4372.157715,4390.191064500001
745200,4675.898926,4423.177246,4357.727051,4369.53869625
748800,4609.843262,3456.324951,3768.082764,3642.9325805999993
752400,2995.82251,2093.92627,2249.387207,2203.56199955
756000,1909.394043,1429.067017,1503.983765,1481.3649964
759600,3350.018555,1061.241699,1103.551025,1190.0779296249998
763200,2056.177734,827.4232178,854.3597412,897.3019744699999
766800,1355.312012,667.6904907,685.6999512,707.2430114800001
770400,996.5755615,554.1553345,566.5825806,579.477815255
774000,782.3104858,470.486084,479.3643494,488.08633729
777600,637.1450195,406.6354065,413.1991882,419.44552917499993
781200,533.0932007,356.4697876,361.4564209,366.12710724500005
784800,1593.118042,982.6178589,942.9534302,1006.91817016
788400,3123.576172,2731.539795,2672.74707,2709.9971313
792000,3765.092773,3484.285645,3417.924561,3444.0517334999995
795600,4114.764648,3876.356689,3805.269043,3827.3650633999996
799200,4322.834473,4101.009277,4026.939209,4047.4922485500006
802800,4449.016113,4235.407715,4159.654297,4179.420092800001
806400,4527.045898,4317.708496,4241.055176,4260.3828369
810000,4576.38623,4369.352539,4292.244141,4311.3220702
813600,4608.587402,4402.60791,4325.293945,4344.2360351
817200,4629.906738,4424.263184,4346.880859,4365.748095749999
820800,4643.864258,4438.16748,4360.80957,4379.635278299999
824400,4652.538086,4446.585449,4369.321289,4388.1216553
828000,4657.345215,4451.026855,4373.903809,4392.689428849999
831600,4659.346191,4452.602539,4375.654785,4394.432177699999
835200,4659.419922,4449.765625,4375.111816,4393.7073487
838800,4658.366699,4418.094727,4361.283691,4378.876733349998
842400,4656.138672,3571.6875,4302.297363,4264.5859131
846000,4601.236328,2166.759521,2962.453125,2973.6115844500005
849600,2968.138428,1479.292725,1867.076904,1887.149054
853200,1905.251221,1100.703735,1317.604492,1326.98307495
856800,1363.387207,860.4624634,999.6087036,1004.7372649299999
860400,1042.993042,696.0595093,791.4735718,794.9871459999999
864000,830.7087402,578.8920898,646.880249,649.544924915
867600,682.1903076,492.306427,542.5662231,544.6685546799998
871200,753.270752,972.0134277,464.5357666,509.57600098
874800,2795.114014,2758.813721,2065.450439,2164.67266845
878400,3646.984619,3502.869873,3159.057373,3213.6833619
882000,4062.280029,3884.016602,3673.475342,3708.4703978999996
885600,4292.014648,4102.148926,3947.357666,3898.416760300001
889200,4428.432617,4232.914063,4107.521484,3994.767932150001
892800,4511.859863,4313.151855,3906.040283,4072.67426755
896400,4564.137695,4363.609375,3935.075684,4128.7641235500005
900000,4433.297363,4104.821289,4204.431152,4170.29332275
903600,4196.661621,4101.056152,4302.617676,4272.6952881
907200,4509.072266,4336.98584,4345.955566,4350.9327149
910800,4608.380371,4414.94043,4368.665527,4379.411205999999
914400,4644.677246,4444.679199,4380.590332,4321.990429699999
918000,4660.621582,4457.882324,4385.849609,4268.8532227
921600,4667.558105,4458.336426,4107.187012,4253.804809650001
925200,4669.038086,4407.486816,4056.291504,4243.73009035
928800,4498.36084,4124.162109,4259.070313,4233.876281849999
932400,4223.998047,2932.106201,4253.80127,4000.51179205
936000,4423.55957,1854.301392,2730.748047,2786.411029
939600,2891.680908,1310.935059,1749.52771,1790.1968505500001
943200,1855.901123,996.9083862,1251.49292,1269.6673491099996
946800,1330.103638,791.692627,957.7202759,967.591165135
950400,1020.487793,648.9772949,763.2717896,769.9704040449999
954000,815.2918091,545.7770386,627.3916626,632.354779055
957600,671.4606323,468.3874817,528.866394,532.672926325
961200,566.8270264,408.3935547,454.7928772,457.80496216499995
964800,1618.042358,1420.345093,735.9388428,923.338946595
968400,3166.922119,2961.899902,2635.34375,2721.9391845500004
972000,3831.673096,3626.243408,3434.385986,3484.8207396999996
975600,4161.201172,3956.960938,3817.707275,3853.5332275499995
979200,4347.576172,4144.716797,4029.149902,4058.1368653
982800,4459.60498,4258.018066,4155.581543,4180.37719725
986400,4528.385742,4327.834961,4233.255859,4188.0054807999995
990000,4571.086426,4371.302246,4281.522461,4168.560168450001
993600,4597.887695,4398.630859,4059.307129,4178.70162345
997200,4614.830078,4415.911133,3972.582275,4193.1401367
1000800,4500.250977,4171.030273,4234.40332,4206.737939500001
1004400,4191.416992,4100.679688,4319.894043,4286.8145994999995
1008000,4504.119141,4336.932617,4352.431152,4356.05300295
1011600,4599.131836,4399.906738,4363.867676,4375.7352295
1015200,4631.29541,4361.307617,4333.52002,4343.11210935
1018800,4595.887695,2875.575195,3391.910645,3298.6307128999993
1022400,3254.962646,1823.622925,2067.791748,2054.8003967500003
1026000,2035.236694,1293.310059,1420.075562,1412.87878425
1029600,1428.581177,983.6137695,1060.636475,1055.77282724
1033200,1081.243408,780.067627,831.4407959,828.304421995
1036800,855.397522,638.5613403,674.3494873,672.42883912
1040400,698.894043,536.4508057,562.2758179,561.1171447749999
1044000,586.2366333,460.0329895,479.3405457,478.65499115500006
1047600,502.1247253,400.8827515,415.7799988,501.21038059500006
1051200,798.1384277,514.8312378,511.7687073,836.7288970899999
1054800,2806.925049,2566.202637,2515.141357,2566.15975345
1058400,3650.30957,3435.534912,2805.523682,3313.2748168499993
1062000,4054.109375,3838.242676,3582.491943,3678.5120116999997
1065600,3849.447021,3509.276855,3941.875,3902.085852
1069200,4153.739746,4017.919434,4120.490723,4120.9508057
1072800,4413.952148,4235.798828,4220.443848,4235.892626949999
1076400,4522.829102,4332.644531,4280.214355,4297.8683105499995
1080000,4577.163574,4383.520508,4316.566406,4334.1689942
1083600,4608.203125,4413.123047,4338.59375,4354.307788
1087200,4626.119141,4428.526367,4348.309082,4349.4277101
1090800,4635.73291,4405.012207,4311.040527,3984.9438719500004
1094400,4638.778809,3488.979492,3154.856934,2966.4189392499998
1098000,4613.546875,2107.008057,1939.70874,2210.3520324499996
1101600,3933.308594,1433.543701,1341.597046,2209.76848145
1105200,2363.91626,1062.735718,2536.336182,2517.0088685
1108800,1593.539063,827.8483276,3026.740723,1960.2967254300006
1112400,2247.908203,1998.723877,1772.201416,1489.262905785
1116000,1725.44519,1229.438599,1164.376221,1105.728030375
1119600,1144.350586,820.2969971,856.9794922,821.6522918850002
1123200,847.8256226,617.6266479,671.5878906,635.90431824
1126800,674.5578613,498.1498413,546.1710205,517.684922785
1130400,557.3112793,416.3714294,457.2004395,435.563032535
1134000,472.2611694,356.920105,391.9343262,375.124139405
1137600,963.0720215,1361.115845,495.9585876,770.673847955
1141200,2865.391357,2937.640625,2512.378418,2640.58345945
1144800,3671.438721,3621.462402,3368.965088,3440.3682861499997
1148400,4062.126709,3960.835449,3776.864258,3826.066272
1152000,4279.290527,4151.898926,4000.242188,4039.1960692499997
1155600,4409.256348,4265.98877,4133.459473,4166.5060059
1159200,4488.995117,4335.328125,4215.205566,4244.526562500001
1162800,4538.193359,4377.439941,4265.632324,4292.53776845
1166400,4568.486328,4402.671875,4296.080078,4321.2531738
1170000,4585.999023,4407.145996,4280.947266,4309.9663820000005
1173600,4557.733398,4126.143555,3227.197266,3632.6646118500003
1177200,3331.871582,2413.682373,1956.179321,2547.1865722499997
1180800,2046.099609,1578.489624,1922.342285,1962.3483274999999
1184400,1413.710938,1140.629761,2383.01416,1652.82184146
1188000,1159.175293,1481.82312,1457.326172,1467.26614075
1191600,2531.941895,2098.141113,993.7263184,1186.6788971350002
1195200,3438.312988,1263.260986,749.6594849,930.73996578
1198800,2063.541992,857.1730347,597.8901367,692.0459899800001
1202400,1302.281738,649.7217407,492.9113159,545.7489089850001
1206000,932.4684448,521.9550171,416.8389587,451.01219024
1209600,718.8005981,433.5119934,359.9136047,383.72652434
1213200,577.7322388,369.4122925,315.9842529,333.27819519499997
1216800,766.5834351,321.4683838,281.9883728,309.13625489000003
1220400,2761.381592,2328.9729,2300.609863,2316.67115465
