Time,Qbor_pos_first_year,Qbor_pos_avg_20_years
594000,2131.620117,2444.6951233000004
597600,1477.245361,1553.93728635
601200,1109.394287,1106.44393315
604800,872.664856,845.6927337650001
608400,709.4733887,674.2187866200002
612000,592.4389038,621.8194671849999
615600,505.389801,1180.27324066
619200,2398.014648,2069.45162348
622800,3426.9021,3045.6987550000003
626400,3908.503906,3492.7327391500003
630000,4163.812012,3660.0864380499997
633600,4312.693848,3635.30716555
637200,3988.394531,3609.18059065
640800,4194.549805,3629.0322265000004
644400,4411.879395,3608.5125366499997
648000,4492.063965,3580.7370483499994
651600,4526.693848,3566.6782104500003
655200,4543.48584,3559.8826050500006
658800,4527.952148,3486.8188720999997
662400,3869.311279,3372.1530761500007
666000,2320.435303,2946.73013925
669600,3293.997314,3153.1437989
673200,3890.960205,3408.7966919000005
676800,3430.045166,3514.6857544
680400,2597.823242,2227.16441045
684000,1633.148682,1433.2020202499998
687600,1154.761475,1030.68948977
691200,882.2459717,792.7544494650001
694800,704.5372925,634.96724244
698400,580.7437744,524.555607605
702000,1664.933594,693.42849428
705600,3089.211914,2013.5732667500001
709200,3728.995117,3017.97860115
712800,4056.133057,3476.8509764999994
716400,4242.097656,3637.12449945
720000,3925.211914,3694.2432129
723600,4187.578613,3733.5436279
727200,4396.122559,3726.9189452499995
730800,4477.081055,3692.20350355
734400,4514.378906,3618.8409180000003
738000,4533.72168,3586.8708009
741600,4542.887695,3572.577233950001
745200,4542.05957,3576.6990355999997
748800,4466.813477,3511.706604
752400,2849.182129,3194.3062072999996
756000,3110.374268,3206.95568855
759600,3829.542969,3552.4478028000003
763200,2465.425293,2875.97745965
766800,1578.827637,1781.8889953500002
770400,1135.34375,1211.9581695099998
774000,875.4923096,902.7934326000001
777600,702.5413818,709.1043212949999
781200,580.7157593,576.92233276
784800,843.0245972,500.199646005
788400,2751.461426,1512.042449955
792000,3489.983398,2845.9535033500006
795600,3896.848633,3458.5450074
799200,4139.777832,3777.047253399999
802800,4285.544434,3858.6104247499998
806400,4374.554688,3856.65360105
810000,4430.183594,3789.4095336500004
813600,4466.144531,3722.5527342
817200,4489.862305,3651.4948730999995
820800,4505.476563,3601.7467773500002
824400,4515.384277,3559.2162718
828000,4521.158691,3541.22641595
831600,4523.941895,3586.8072630999995
835200,4524.65918,3490.1481200499998
838800,4524.139648,3550.122753950001
842400,4522.935059,3424.74659425
846000,4473.758789,3540.1353332
849600,3029.923584,3364.68876955
853200,1924.042236,2049.5846832999996
856800,1366.225586,1358.45366827
860400,1040.71521,995.7310333649999
864000,826.5184937,774.0958374100001
867600,677.1837769,1332.500851435
871200,1756.684692,2315.1659331700002
874800,3141.564209,3168.0810912499996
878400,3686.101074,3546.3711549
882000,4004.89209,3778.8365355
885600,4202.33252,3666.6005250500007
889200,4321.475586,3685.4976562500005
892800,4394.088867,3614.88779295
896400,4439.692871,3530.946581949999
900000,4309.964844,3439.8289429000006
903600,4058.471436,3414.2009521999994
907200,4373.397461,3442.6448852999993
910800,4472.948242,3427.8591919
914400,4509.02832,3420.8167601
918000,4524.777832,3348.15163585
921600,4531.67334,3423.0131104
925200,4533.247559,3368.7364625
928800,4365.983398,3328.6681396
932400,4081.101318,3336.6267945500003
936000,4294.211914,3663.35919185
939600,2967.200684,2713.6361389000003
943200,1882.09375,1677.58266605
946800,1337.587524,1170.318432495
950400,1021.661438,885.0991577199999
954000,813.8872681,935.90897212
957600,668.7619019,1578.1061035500002
961200,563.5126953,1991.13890545
964800,2204.022217,2460.18418877
968400,3335.056641,3340.0270630500004
972000,3846.912354,3734.6737673000002
975600,4112.023926,3634.8799560499997
979200,4265.269043,3625.7600708
982800,4357.772949,3573.74719245
986400,4414.703125,3583.0170897499993
990000,4450.145996,3527.3365722000003
993600,4472.402344,3503.8984496999997
997200,4486.397949,3476.6401000499995
1000800,4375.748535,3414.6561523000005
1004400,4041.084717,3361.98797605
1008000,4364.680664,3377.0255249
1011600,4462.824707,3400.6901367
1015200,4495.914551,3382.3885499
1018800,4463.495117,3482.8512206
1022400,3292.77832,3528.125293000001
1026000,2043.18103,2314.72683105
1029600,1425.820801,1484.5179657350002
1033200,1075.928223,1064.278387445
1036800,849.710083,817.3096221900001
1040400,693.307312,654.0763641350001
1044000,580.921936,540.0276687649999
1047600,497.1715698,949.465641705
1051200,1017.040405,1688.1081269100002
1054800,2834.421631,2880.0728882
1058400,3599.456299,3408.3921509
1062000,3968.69458,3514.5465455500002
1065600,3770.828125,3566.0375243999997
1069200,4031.888184,3625.5008790000006
1072800,4290.534668,3621.0431884000004
1076400,4396.716309,3591.7210936999995
1080000,4448.860352,3550.5408204
1083600,4478.366211,3516.7495361499996
1087200,4495.266113,3511.58831785
1090800,4504.225586,3485.3941527999996
1094400,4508.007324,3441.6414428000003
1098000,4490.928223,3231.3225952499997
1101600,4091.967529,3184.20838615
1105200,2435.291016,3168.6543090500004
1108800,1621.401001,3208.1434937000004
1112400,2226.189453,2819.4866636499996
1116000,1723.95459,1728.51110855
1119600,1143.208008,1176.87357489
1123200,846.2250977,878.7213653850001
1126800,672.4714355,691.72824401
1130400,554.97052,563.9177230850001
1134000,469.8155518,472.66232604
1137600,1348.526245,708.094087215
1141200,2964.465332,2560.0102171999997
1144800,3656.199219,3343.0006592
1148400,3997.21582,3716.117395
1152000,4189.277344,3914.0803833499995
1155600,4304.412109,3798.32502445
1159200,4374.975586,3726.2519287000005
1162800,4418.416992,3675.6460817000007
1166400,4445.030762,3638.1041138
1170000,4460.353516,3667.602624600001
1173600,4423.18457,3476.1867187500006
1177200,3173.869629,2793.6835999500004
1180800,1962.35022,2466.6941345000005
1184400,1363.46936,2130.0432190349998
1188000,2364.756104,2474.4651550500007
1191600,2997.626465,3266.0146971
1195200,3589.047852,2409.7191895000005
1198800,2515.347412,1501.0993590500002
1202400,1545.032471,1033.9502166349998
1206000,1078.233887,777.91340639
1209600,816.4802856,615.2326110899999
1213200,647.380249,503.6202591
1216800,530.9435425,423.90506439
1220400,2198.848633,536.8854309149999
1224000,3266.414307,2390.1516297
1227600,3783.077393,3251.964441
1231200,4062.996582,3663.8188598499996
1234800,4226.146484,3851.7570313000006
1238400,4324.582031,3895.94968255
1242000,4385.38916,3818.70928965
1245600,4423.530762,3699.0191651500004
1249200,4440.760254,3581.188159350001
1252800,3929.732422,3542.27048335
1256400,4259.728516,3644.3782471
1260000,4305.602539,3714.5677001000004
1263600,2731.804443,3084.219043
1267200,1743.126465,2309.761737
1270800,3220.224121,2886.34221195
1274400,3814.948486,3468.3773804
1278000,3452.954834,3298.7243531
1281600,2035.69165,2350.74580075
1285200,1357.185547,1757.6807494500001
1288800,2272.606934,1391.962042245
1292400,1587.161865,975.4676727749999
1296000,1041.540405,731.349090565
1299600,767.6791992,581.8255584750001
1303200,608.4000244,480.68025206500005
1306800,501.2774353,407.6720687849999
1310400,2089.651611,757.656472725
1314000,3261.699951,2573.66965325
1317600,3792.97876,3342.48771985
1321200,4068.271484,3712.1857420499996
1324800,4227.547852,3916.2732666500006
1328400,4323.95459,3969.39986575
1332000,4383.485352,3889.502270650001
1335600,4420.698242,3780.64887705
1339200,4443.919434,3721.9567383000003
1342800,4457.939941,3703.56918945
1346400,4465.102051,3726.32650155
1350000,4426.954102,3579.5976806499993
1353600,3204.778809,3004.7013733
1357200,1983.183838,2390.0534607500003
1360800,3258.581055,3245.6777711
1364400,3813.037354,3542.1146240500007
1368000,2395.599854,2181.35266115
1371600,1525.839355,1396.9341614
1375200,1094.013306,1002.92498485
1378800,841.5939331,770.4604034449999
1382400,674.2026367,616.150454715
1386000,556.7252808,508.18276213499996
1389600,471.4107361,429.919392395
1393200,407.2531738,371.11148224000004
1396800,2201.866211,729.030984505
1400400,3293.833008,2560.51965335
1404000,3798.975586,3326.2345459000003
1407600,4065.662354,3614.94910905
1411200,4221.797363,3778.5396728499995
1414800,4317.057129,3871.66109615
1418400,4376.39502,3756.89693605
1422000,4157.304199,3671.1338621999994
1425600,4143.512695,3676.18519285
1429200,4366.159668,3663.8389282999997
1432800,4440.850586,3637.7156127500007
1436400,4469.628906,3618.64571535
1440000,4482.119629,3615.9503906000004
1443600,4486.416504,3609.259961050001
1447200,4478.463867,3454.673950250001
1450800,4417.157227,3460.610125749999
1454400,2895.762695,3128.2645629500003
1458000,1847.22229,1921.9824310200001
1461600,1315.125854,1287.7398772550002
1465200,1002.333008,949.3391967949999
1468800,795.9008179,740.242079165
1472400,651.9280396,636.3526458650001
1476000,1523.755249,1699.218554675
1479600,3030.337158,2948.4421629999997
1483200,3645.171875,3470.9124145999995
1486800,3974.291992,3773.7649902
1490400,4168.474121,3802.4186523500002
1494000,4285.289551,3798.1869629000003
1497600,4356.919922,3684.52604985
1501200,4402.181641,3666.77384035
1504800,4431.342773,3591.4386108500003
1508400,4449.668457,3554.8223753499997
1512000,4300.609863,3443.32795415
1515600,3927.653809,3382.03465585
1519200,4321.356934,3441.35429695
1522800,4437.67627,3458.4778076000002
1526400,4474.397949,3417.0695800000003
1530000,4487.128418,3445.9786621499998
1533600,4491.181641,3411.7502076000005
1537200,4445.49707,3572.0048706000002
1540800,3206.111084,3465.6275268500003
1544400,2004.003174,2943.44758915
1548000,1406.472656,2216.74118035
1551600,1771.508667,1802.5577637
1555200,1994.249512,2306.1027709999994
1558800,2483.747803,2985.5167848
1562400,3502.038574,3535.2239746
1566000,3935.233887,3603.38854995
1569600,4134.480469,3581.5055297999997
1573200,4265.354004,3507.0135376
1576800,4348.814941,3461.49704585
1580400,4399.851563,3422.6691773
1584000,4431.605469,3388.1589843499996
1587600,4452.028809,3396.2447876499996
1591200,4465.04541,3334.12304685
1594800,4472.30957,3397.71766355
1598400,4475.035156,3325.5876342
1602000,4474.419434,3386.7685546500006
1605600,4471.457031,3365.2038818499996
1609200,4445.870605,3363.9040039
1612800,3585.531738,3221.36873775
1616400,3440.743408,3207.7707397500003
1620000,3059.206787,3111.5996827
1623600,3777.412354,3354.0447021499995
1627200,2465.244873,3390.2755370499995
1630800,1589.396362,2342.8505616
1634400,1149.438599,1489.985003695
1638000,891.1165161,1625.646469105
1641600,1001.861328,2349.5440856800005
1645200,2848.153076,3098.67291255
1648800,3605.95752,3410.9380737
1652400,3954.697998,3470.7662232499997
1656000,4144.516602,3449.58021255
1659600,4264.245605,3473.7177002500007
1663200,4338.764648,3544.3528808
1666800,4385.645508,3454.9488649
1670400,4416.266113,3358.3377319
1674000,4290.616211,3268.9717162
1677600,3854.807129,3197.0860838999997
1681200,4268.32373,3206.4367798
1684800,4424.736816,3245.6247192
1688400,4474.978516,3212.7599731999994
1692000,4492.002441,3246.9258422
1695600,4496.365723,3226.2500852999997
1699200,4494.013672,3234.8338868
1702800,4488.21582,3207.4930664000003
1706400,4481.464355,3283.2349609000003
1710000,4429.826172,3324.84110115
1713600,3153.021729,3586.8137817
1717200,1987.103271,2827.7435118500002
1720800,1404.642822,2266.16790765
1724400,1069.247681,2508.6135589000005
